Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
BFC,4/10/2020,10.80,143300.00,0.0000,1.0194,-0.0526,-0.1184,-0.2494,-0.4285,-0.6824,1.00,0.00,0.00,1.0000,1.0000,0.0103,-0.2029,4.0000,-0.0354,-0.1457,0,0,74.04,13.20,1,1,9.82,11.20,10.06,12.64,10.98,10.66,10.41,10.15,9.78,10.69,11.86,13.55,0,
BID,4/10/2020,37.30,728920.00,-0.0106,-0.5129,-0.0171,-0.2989,-0.3279,-0.3279,-0.3279,1.00,0.00,0.00,2.0000,0.0000,0.0981,-0.0698,4.0000,-0.0464,-0.3850,0,0,96.66,6.66,0,1,28.86,39.12,29.32,60.65,36.45,35.12,34.05,32.98,31.45,33.97,43.63,40.10,0,/ndoji_standard
AAA,4/10/2020,10.65,687160.00,-0.0229,-0.6039,-0.0448,-0.1992,-0.3129,-0.4304,-0.5789,1.00,0.00,0.00,1.0000,1.0000,0.0219,-0.2626,4.0000,-0.0475,-0.2267,0,0,83.06,8.11,1,1,9.46,11.18,9.67,13.77,10.88,10.56,10.30,10.04,9.67,10.42,12.40,14.44,0,
ANV,4/10/2020,16.45,169300.00,-0.0380,-0.1559,-0.0380,-0.1650,-0.3624,-0.4135,-0.4943,1.00,0.00,1.00,2.0000,1.0000,0.0862,-0.2809,2.0000,-0.0588,-0.3173,0,4,94.60,9.86,0,1,12.25,17.48,12.90,24.09,16.38,15.51,14.80,14.09,13.08,15.15,19.91,22.88,1,
BCC,4/10/2020,5.80,183300.00,0.0000,0.0384,-0.0333,-0.1594,-0.2055,-0.3556,-0.8448,1.00,0.00,0.00,2.0000,1.0000,0.0432,-0.1918,3.0000,-0.0257,-0.2288,0,0,85.52,6.67,1,1,4.95,5.95,5.20,7.52,5.84,5.68,5.55,5.42,5.24,5.56,6.57,7.18,0,/ndoji_standard
APC,4/10/2020,15.20,1780.00,-0.0065,-0.8759,-0.0065,-0.2000,-0.3214,-0.4685,-0.8326,1.00,0.00,0.00,2.0000,0.0000,0.0655,-0.2821,2.0000,-0.0168,-0.3220,0,0,94.32,7.47,1,1,12.65,15.46,12.83,22.42,15.26,14.80,14.43,14.05,13.52,14.27,18.43,21.17,0,
BSR,4/10/2020,5.80,3236100.00,0.0000,-0.0080,-0.1714,-0.3012,-0.4314,-0.5504,-0.8147,0.00,0.00,0.00,1.0000,1.0000,-0.0085,-0.3546,4.0000,-0.0845,-0.3573,0,0,56.71,5.81,1,1,4.78,6.34,5.32,9.02,6.51,6.14,5.85,5.55,5.13,5.85,7.78,8.99,0,
VNM,4/10/2020,99.10,673440.00,-0.0100,-0.6371,-0.0178,-0.1007,-0.2061,-0.2569,-0.4084,1.00,0.00,0.00,2.0000,0.0000,0.0542,-0.1509,4.0000,-0.0360,-0.2103,0,0,97.71,10.66,0,1,84.40,102.80,87.44,125.48,96.84,94.33,92.30,90.27,87.38,94.00,109.89,116.71,0,
BSI,4/10/2020,8.40,1540.00,0.0120,-0.7729,-0.0233,-0.1250,-0.1250,-0.1250,-0.3667,4.00,1.00,0.00,1.0000,1.0000,0.0075,0.1298,0.0000,-0.0356,-0.1530,0,0,43.50,34.17,0,0,7.92,8.71,7.25,9.92,8.63,8.40,8.22,8.03,7.77,8.34,8.04,7.43,0,
BBC,4/10/2020,42.20,10.00,-0.0633,-0.9838,-0.1263,-0.2583,-0.3270,-0.3839,-0.6673,0.00,0.00,0.00,1.0000,0.0000,-0.0677,-0.2952,0.0000,-0.1204,-0.3338,0,0,22.46,1.36,0,0,41.36,47.98,41.32,63.35,48.52,46.99,45.75,44.51,42.75,45.26,55.26,59.88,0,/ndoji_standard
BMP,4/10/2020,40.00,164560.00,-0.0172,-0.1904,-0.0172,-0.1011,-0.2346,-0.2402,-0.5733,2.00,0.00,0.00,2.0000,1.0000,0.0998,-0.1297,3.0000,-0.0303,-0.1757,0,0,97.49,14.86,0,1,31.42,41.25,33.86,48.52,39.69,38.41,37.38,36.34,34.87,36.37,43.47,45.96,0,Bearish_Engulfing_Pattern
CEO,4/10/2020,6.50,404400.00,-0.0152,-0.4214,-0.0714,-0.2614,-0.3229,-0.4091,-0.5692,0.00,0.00,1.00,1.0000,0.0000,-0.0091,-0.2935,4.0000,-0.0697,-0.3503,0,2,64.69,5.05,0,1,5.85,6.99,5.87,10.01,6.82,6.59,6.40,6.21,5.94,6.56,8.34,9.20,0,
BVH,4/10/2020,46.30,506690.00,-0.0191,-0.3232,-0.0314,-0.2258,-0.3675,-0.4666,-0.5593,1.00,0.00,0.00,2.0000,1.0000,0.1586,-0.3138,3.0000,-0.0864,-0.3918,0,0,97.13,12.98,0,1,30.02,50.68,32.46,76.12,45.52,42.99,40.95,38.91,36.00,39.96,59.01,67.47,0,
CSV,4/10/2020,18.65,16680.00,-0.0027,-0.8090,-0.0362,-0.1599,-0.1599,-0.3098,-0.4631,1.00,0.00,0.00,1.0000,1.0000,0.0043,-0.1486,6.0000,-0.0262,-0.1875,0,0,62.29,4.95,0,1,17.66,19.15,17.69,22.95,19.16,18.82,18.55,18.28,17.89,18.57,20.50,21.91,0,
ACB,4/10/2020,19.90,1489700.00,-0.0050,-0.7010,-0.0995,-0.2519,-0.2519,-0.2519,-0.4910,0.00,0.00,0.00,1.0000,0.0000,-0.0080,-0.1357,0.0000,-0.0743,-0.2740,0,0,62.75,9.42,0,1,17.82,21.50,18.66,27.41,21.52,20.49,19.65,18.81,17.62,20.06,23.01,23.02,3,
BVS,4/10/2020,8.70,40900.00,-0.0225,-0.2733,-0.0333,-0.1553,-0.2018,-0.2291,-0.9323,1.00,0.00,0.00,2.0000,0.0000,0.0128,-0.1457,5.0000,-0.0505,-0.2147,0,0,88.89,6.57,0,1,7.92,9.16,8.08,11.08,8.79,8.60,8.45,8.30,8.08,8.59,9.68,10.18,0,
CTD,4/10/2020,53.40,107060.00,-0.0166,-0.3969,-0.0515,-0.2371,-0.2479,-0.5211,-0.7620,1.00,0.00,0.00,1.0000,1.0000,0.0328,-0.3042,3.0000,-0.0631,-0.2248,0,0,91.53,12.59,1,1,45.01,56.99,43.93,68.88,53.40,51.60,50.15,48.70,46.63,51.70,58.63,76.74,1,
CII,4/10/2020,18.55,519220.00,0.0249,-0.4270,-0.1167,-0.2255,-0.2865,-0.2865,-0.5408,0.00,0.00,0.00,1.0000,0.0000,-0.0308,-0.1698,2.0000,-0.0677,-0.3143,0,0,23.18,2.06,0,1,17.64,19.90,17.43,27.05,20.47,19.86,19.38,18.89,18.19,19.14,22.46,22.34,5,
CTI,4/10/2020,19.30,55720.00,-0.0302,-0.6830,-0.1147,-0.1479,-0.2122,-0.2461,-0.4892,0.00,0.00,0.00,0.0000,1.0000,-0.0884,-0.1547,1.0000,-0.1424,-0.1734,2,0,0.00,18.75,0,0,19.55,22.50,19.93,23.35,21.10,20.55,20.10,19.65,19.01,21.17,21.93,22.83,5,
CVT,4/10/2020,17.95,109330.00,0.0028,-0.4422,0.0028,-0.1286,-0.2040,-0.2490,-0.5256,2.00,0.00,0.00,2.0000,1.0000,0.1296,-0.1141,2.0000,-0.0177,-0.2144,3,3,100.00,14.03,0,1,13.71,18.27,14.70,22.85,17.44,16.85,16.38,15.90,15.22,15.89,19.41,20.26,0,inverted_Hammer
CTS,4/10/2020,5.97,50460.00,-0.0277,-0.5773,-0.1142,-0.1697,-0.2443,-0.3042,-0.6668,0.00,0.00,1.00,1.0000,0.0000,-0.0043,-0.2169,4.0000,-0.0757,-0.2457,0,2,59.96,9.02,1,1,5.21,6.46,5.59,7.91,6.32,6.05,5.84,5.63,5.33,6.00,7.05,7.62,0,
CTG,4/10/2020,19.70,2689020.00,-0.0051,-0.6026,-0.1025,-0.2901,-0.2901,-0.2901,-0.4775,1.00,0.00,0.00,1.0000,0.0000,0.0114,-0.0935,4.0000,-0.0483,-0.3223,0,1,80.62,5.73,1,1,17.31,20.70,17.62,29.07,21.03,20.18,19.50,18.82,17.84,19.48,22.43,21.73,3,
DCL,4/10/2020,20.25,350550.00,0.0686,0.8304,-0.0537,-0.1785,-0.3672,-0.3672,-0.3672,1.00,1.00,0.00,1.0000,0.0000,0.0312,-0.0005,3.0000,-0.0322,-0.2730,0,0,37.24,5.36,1,1,17.46,20.92,16.90,27.85,20.76,19.99,19.38,18.76,17.87,19.64,22.98,20.26,2,
DBC,4/10/2020,20.65,2041040.00,0.0429,1.6980,0.0429,0.0429,-0.0323,-0.0419,-0.2483,5.00,0.00,0.00,2.0000,1.0000,0.2800,0.0902,1.0000,0.0132,-0.0396,4,0,100.00,31.73,0,1,12.56,20.38,13.51,21.50,19.28,18.12,17.18,16.24,14.91,16.13,18.35,18.94,0,
DCM,4/10/2020,6.30,403210.00,-0.0047,-0.4796,-0.0047,-0.0047,-0.1114,-0.1954,-0.4890,3.00,0.00,0.00,2.0000,1.0000,0.0978,-0.0716,1.0000,-0.0141,-0.0339,3,0,97.68,31.82,1,1,5.16,6.39,5.41,6.52,6.27,6.05,5.86,5.68,5.42,5.74,6.22,6.79,0,
DGC,4/10/2020,22.40,69600.00,-0.0044,-0.4774,-0.0175,-0.1040,-0.2170,-0.2910,-0.4866,1.00,0.00,0.00,2.0000,0.0000,0.0409,-0.1305,1.0000,-0.0245,-0.1559,0,0,84.24,10.00,1,1,19.33,22.96,20.56,26.54,22.68,21.86,21.20,20.54,19.60,21.52,24.33,25.76,0,
DXG,4/10/2020,9.14,862340.00,-0.0033,-0.5733,-0.1766,-0.3328,-0.4252,-0.4762,-0.6699,0.00,0.00,0.00,1.0000,1.0000,-0.0339,-0.3435,4.0000,-0.1238,-0.4018,0,0,48.42,4.96,1,1,7.56,10.43,8.25,15.28,10.33,9.74,9.26,8.77,8.09,9.46,12.59,13.92,0,
DIG,4/10/2020,10.80,1009180.00,-0.0357,-0.4331,-0.0809,-0.2059,-0.2286,-0.2848,-0.7007,0.00,0.00,1.00,1.0000,0.0000,-0.0215,-0.1751,6.0000,-0.0538,-0.2422,0,2,46.70,3.61,1,1,10.29,11.41,10.33,14.25,11.45,11.14,10.89,10.63,10.28,11.04,12.65,13.09,0,
DHA,4/10/2020,27.55,10120.00,-0.0108,0.2391,-0.0967,-0.1523,-0.1523,-0.2161,-0.2161,0.00,0.00,0.00,0.0000,0.0000,-0.0366,-0.1175,4.0000,-0.0744,-0.1934,1,0,14.20,4.15,0,1,27.06,29.76,27.14,34.16,29.67,29.16,28.75,28.34,27.75,28.60,30.83,31.22,0,
FTS,4/10/2020,10.50,46610.00,0.0000,-0.2734,-0.2015,-0.2279,-0.2279,-0.2391,-0.3831,0.00,0.00,0.00,1.0000,0.0000,-0.0538,-0.1389,6.0000,-0.1120,-0.2408,0,0,27.80,4.57,1,0,9.62,11.82,10.02,13.83,12.15,11.62,11.20,10.78,10.17,11.10,12.01,12.19,0,
DHG,4/10/2020,88.70,28490.00,0.0195,-0.2463,0.0195,-0.1218,-0.1355,-0.1824,-0.2708,1.00,0.00,0.00,2.0000,1.0000,0.0947,-0.0516,1.0000,0.0025,-0.1369,4,0,98.16,13.11,0,1,73.96,88.48,77.35,102.77,85.62,83.09,81.05,79.01,76.10,81.03,91.17,93.52,0,
FCN,4/10/2020,8.09,111240.00,-0.0098,-0.8195,-0.0098,-0.1894,-0.3026,-0.4325,-0.6075,1.00,0.00,0.00,2.0000,1.0000,0.0984,-0.2624,3.0000,-0.0322,-0.2868,0,0,99.71,12.67,0,1,6.47,8.36,6.71,11.34,7.80,7.55,7.35,7.15,6.86,7.36,9.37,10.97,0,
EIB,4/10/2020,14.75,178110.00,-0.0296,-0.5881,-0.1168,-0.1667,-0.2175,-0.2175,-0.2175,0.00,0.00,0.00,0.0000,0.0000,-0.0558,-0.1415,9.0000,-0.0955,-0.2158,0,0,21.93,0.20,0,1,14.62,16.31,14.90,18.81,16.02,15.64,15.32,15.01,14.57,15.62,17.01,17.18,0,
FMC,4/10/2020,20.20,129730.00,-0.0146,0.2201,-0.0194,-0.2016,-0.2420,-0.2846,-0.2886,1.00,0.00,0.00,2.0000,1.0000,0.0828,-0.1871,3.0000,-0.0525,-0.3106,0,0,96.36,10.89,1,1,15.30,21.32,16.57,29.30,19.78,18.91,18.20,17.49,16.48,18.66,23.81,24.85,0,
GAS,4/10/2020,66.40,690650.00,-0.0090,-0.1698,-0.0090,-0.2497,-0.3880,-0.3880,-0.4689,1.00,0.00,0.00,2.0000,1.0000,0.1244,-0.2914,1.0000,-0.0163,-0.3820,3,0,96.91,6.51,0,1,51.39,67.50,49.51,107.45,64.29,62.30,60.70,59.10,56.81,59.06,85.15,93.70,0,
DPM,4/10/2020,13.60,1035720.00,-0.0073,-0.0921,-0.0073,-0.0073,-0.0320,-0.1553,-0.6771,5.00,0.00,0.00,2.0000,1.0000,0.1317,0.0194,1.0000,-0.0175,0.0163,3,0,98.28,51.05,0,1,10.48,13.84,11.06,13.38,13.26,12.72,12.27,11.83,11.20,12.02,12.51,13.34,0,
HDB,4/10/2020,20.00,1008300.00,-0.0315,-0.4554,-0.1304,-0.3322,-0.3322,-0.3322,-0.5998,0.00,0.00,1.00,2.0000,0.0000,-0.0032,-0.2460,5.0000,-0.0790,-0.4024,0,2,87.30,5.54,1,1,17.38,21.71,17.82,33.47,21.72,20.64,19.78,18.91,17.67,20.07,26.13,26.53,0,
FPT,4/10/2020,46.50,1025630.00,-0.0075,-0.5205,-0.0412,-0.1696,-0.2314,-0.2377,-0.2377,1.00,0.00,0.00,1.0000,0.0000,0.0179,-0.1283,4.0000,-0.0593,-0.2463,0,0,81.97,7.71,1,1,40.34,49.43,42.68,61.70,47.66,46.22,45.05,43.88,42.22,45.68,53.59,53.34,2,/ndoji_standard
HBC,4/10/2020,7.18,1220330.00,0.0000,-0.5989,-0.1553,-0.3729,-0.4091,-0.5353,-0.8168,0.00,0.00,0.00,1.0000,0.0000,-0.0060,-0.4048,4.0000,-0.0948,-0.4660,0,0,59.99,4.31,0,1,6.02,7.93,6.15,13.45,7.86,7.47,7.15,6.83,6.38,7.22,10.19,12.06,3,
GIL,4/10/2020,16.00,41250.00,-0.0062,-0.3060,-0.0698,-0.2677,-0.2677,-0.4041,-0.5805,0.00,0.00,0.00,1.0000,0.0000,-0.0128,-0.2112,5.0000,-0.0742,-0.2407,0,0,58.16,3.14,0,1,14.97,17.28,14.40,21.07,16.88,16.43,16.08,15.72,15.20,16.21,17.84,20.28,0,
HCM,4/10/2020,15.35,2130690.00,-0.0032,0.1380,-0.0032,-0.2005,-0.3913,-0.3913,-0.6270,1.00,0.00,0.00,2.0000,1.0000,0.1457,-0.2561,1.0000,-0.0340,-0.3633,0,0,98.24,9.27,0,1,10.64,15.89,11.33,24.11,14.66,13.92,13.33,12.73,11.88,13.40,19.14,20.63,0,
HDG,4/10/2020,20.15,143210.00,0.0000,-0.7295,-0.0313,-0.2880,-0.4047,-0.4422,-0.4422,1.00,0.00,0.00,2.0000,0.0000,0.0833,-0.3448,3.0000,-0.0348,-0.4189,0,0,98.71,5.96,1,1,15.63,20.88,15.93,34.67,19.48,18.81,18.27,17.74,16.97,18.60,27.33,30.75,0,
HVN,4/10/2020,22.05,2277320.00,0.0678,1.1627,0.0401,-0.2125,-0.3849,-0.4977,-0.6142,1.00,0.00,0.00,1.0000,0.0000,0.1160,-0.3319,0.0000,0.0176,-0.3931,4,0,81.37,5.10,1,1,17.24,21.67,15.93,36.33,20.98,20.31,19.77,19.24,18.47,19.76,28.53,33.01,1,
HSG,4/10/2020,5.60,2771700.00,0.0000,-0.3406,-0.0953,-0.3285,-0.3764,-0.3764,-0.7848,1.00,0.00,0.00,2.0000,0.0000,0.0283,-0.2300,4.0000,-0.0695,-0.4297,0,0,74.55,5.70,1,1,4.48,6.02,4.67,9.82,5.87,5.58,5.35,5.11,4.78,5.45,7.47,7.27,2,
HPG,4/10/2020,18.55,3852620.00,0.0000,-0.5885,-0.0584,-0.2639,-0.2947,-0.2947,-0.4938,1.00,0.00,0.00,2.0000,1.0000,0.0251,-0.1662,4.0000,-0.0501,-0.3389,0,0,81.84,7.48,1,1,15.90,19.53,15.96,28.06,18.96,18.25,17.67,17.10,16.29,18.09,22.35,22.25,0,
GMD,4/10/2020,16.65,189030.00,0.0091,-0.5173,-0.0177,-0.1858,-0.3353,-0.3920,-0.7306,1.00,0.00,0.00,1.0000,0.0000,0.0423,-0.2776,1.0000,-0.0207,-0.2959,0,0,79.17,5.41,1,1,14.68,17.00,14.22,23.65,16.47,16.02,15.65,15.28,14.76,15.98,20.48,23.05,1,
HT1,4/10/2020,12.30,60410.00,0.0293,-0.3572,-0.0160,-0.1633,-0.2090,-0.2171,-0.6211,1.00,0.00,0.00,1.0000,1.0000,0.0832,-0.1369,0.0000,0.0089,-0.2567,4,0,77.23,11.03,1,1,9.91,12.19,10.59,16.55,12.03,11.61,11.27,10.94,10.46,11.35,13.92,14.25,0,
IDI,4/10/2020,3.61,763240.00,-0.0500,-0.2452,-0.0861,-0.2031,-0.3388,-0.4120,-0.6707,1.00,0.00,0.00,2.0000,1.0000,0.0272,-0.2852,3.0000,-0.0950,-0.3421,0,0,84.18,9.33,1,1,2.81,3.99,3.06,5.49,3.69,3.50,3.35,3.20,2.98,3.51,4.56,5.05,0,
LDG,4/10/2020,4.80,2492420.00,-0.0264,-0.2967,-0.2615,-0.3064,-0.5224,-0.5897,-0.7308,0.00,0.00,0.00,1.0000,0.0000,-0.0805,-0.4262,1.0000,-0.1927,-0.4597,0,0,30.39,2.73,1,1,3.82,5.95,4.18,8.88,5.80,5.43,5.13,4.83,4.40,5.22,7.30,8.37,0,
KBC,4/10/2020,11.95,1619680.00,0.0042,-0.1512,-0.0478,-0.2033,-0.2691,-0.2691,-0.8938,1.00,0.00,0.00,2.0000,0.0000,0.0364,-0.1755,5.0000,-0.0518,-0.3017,0,0,83.78,11.38,0,1,10.24,12.60,10.61,17.11,11.99,11.61,11.30,10.99,10.56,11.53,14.25,14.49,0,
KSB,4/10/2020,14.55,981730.00,0.0393,0.1472,-0.1101,-0.2971,-0.2971,-0.4157,-0.7112,1.00,0.00,0.00,1.0000,1.0000,0.0619,-0.2407,0.0000,-0.0087,-0.2939,3,0,67.62,6.51,1,1,11.62,14.68,11.88,20.60,15.17,14.44,13.85,13.26,12.42,13.70,16.47,19.16,2,
LCG,4/10/2020,4.66,247150.00,-0.0127,-0.3662,-0.1796,-0.3455,-0.4459,-0.5100,-0.8386,1.00,0.00,0.00,1.0000,0.0000,0.0207,-0.3922,3.0000,-0.0625,-0.4640,0,0,65.38,4.91,1,1,3.75,4.97,3.80,8.69,5.13,4.84,4.61,4.38,4.04,4.57,6.84,7.67,3,
KDH,4/10/2020,19.90,198810.00,-0.0050,-0.4853,-0.0808,-0.2134,-0.2657,-0.2684,-0.3330,1.00,0.00,0.00,1.0000,0.0000,0.0165,-0.1842,1.0000,-0.0169,-0.3064,0,1,58.76,3.95,1,1,18.04,20.24,18.04,28.69,20.56,19.97,19.50,19.03,18.36,19.58,24.43,24.39,3,
KDC,4/10/2020,15.40,316220.00,-0.0065,0.3244,-0.0941,-0.1676,-0.2568,-0.2909,-0.6306,0.00,0.00,0.00,1.0000,0.0000,-0.0158,-0.1745,4.0000,-0.0514,-0.2636,0,0,56.97,2.88,1,1,14.48,16.24,14.45,20.91,16.09,15.71,15.40,15.09,14.66,15.65,18.19,18.66,0,
LAS,4/10/2020,5.10,25600.00,0.0000,-0.5900,-0.0893,-0.1356,-0.2609,-0.3377,-0.7327,0.00,0.00,0.00,1.0000,0.0000,-0.0304,-0.2048,8.0000,-0.0667,-0.2143,0,0,16.74,0.00,0,1,4.90,5.46,4.96,6.49,5.41,5.29,5.20,5.11,4.97,5.26,5.91,6.41,0,/ndoji_standard
